date,open,high,low,close,volume,adjclose,dividends,splits,returns,volatility
2018-04-30,51.92076165335519,52.48768288748605,51.22026407150995,51.78480947585333,39729428.571428575,51.599407922653924,0.0,0.0,-0.051117516683737096,0.02818196137853714
2018-05-31,53.201067837801844,53.798940658569336,52.9228068265048,53.4637955752286,28954000.0,53.272382562810726,0.0,0.0,0.03242236117640229,0.04237561259028898
2018-06-30,56.819809868222194,57.32549776349749,56.39349764869327,56.881333305722194,30567619.04761905,56.677684420631046,0.0,0.0,0.06392246214640962,0.05944936820977476
2018-07-31,59.173214322044736,59.83462379092262,58.698861621675036,59.379523686000276,30419142.85714286,59.16693078903925,0.0,0.0,0.04391933781088109,0.015940314802605694
2018-08-31,61.30784772789997,61.75079992543096,60.861554187277086,61.28358724842901,25050782.608695652,61.064177305802055,0.0,0.0,0.03206599516759567,0.016101041391651274
2018-09-30,58.84392085828279,59.2886185897024,58.243447153191816,58.79044703433388,30381473.684210528,58.57996348330849,0.0,0.0,-0.04068201574309138,0.04580786658505433
2018-10-31,55.804108827010445,56.61364348038383,54.777573958687164,55.54702211462933,42169304.347826086,55.3481505020805,0.0,0.0,-0.05516925564743391,0.04674780243724214
2018-11-30,52.7485716683524,53.40099770682199,52.07546143304734,52.808119092668804,34985809.52380952,52.61905361357189,0.0,0.0,-0.04930782444855175,0.007287444357345021
2018-12-31,52.131000117251745,52.96618391338148,51.17840817100123,51.871026490864004,42376421.05263158,51.68531558388158,0.0,0.0,-0.017745245601480608,0.020129204683313685
2019-01-31,53.471119290306454,54.03989773704892,52.916852133614675,53.61321403866722,29251428.57142857,53.421265738351,0.0,0.0,0.033586912159839555,0.0418384276339452
2019-02-28,55.629552339252676,56.14060492264597,55.2036391810367,55.712105198910365,30455473.684210528,55.51264270983244,0.0,0.0,0.03914877235827152,0.03136572967668312
2019-03-31,58.85074942452567,59.38119761149088,58.37607610793341,58.95988137381418,30104095.23809524,58.7487911042713,0.0,0.0,0.05829570051914801,0.012961888809440311
2019-04-30,61.15502421061198,61.50836417788551,60.833285740443635,61.311309814453125,26528761.904761903,61.09180123465402,0.0,0.0,0.03988184414253215,0.010849058015155668
2019-05-31,57.515431664206766,58.064077377319336,57.019420103593305,57.53815945712003,30288545.454545453,57.33215956254439,0.0,0.0,-0.061540854846771076,0.06453220640231051
2019-06-30,54.20135021209717,54.55042495727539,53.64086723327637,54.056125450134275,34096800.0,53.862591934204104,0.0,0.0,-0.06051695339603058,0.05826309694201089
2019-07-31,57.46661376953125,57.94454574584961,57.11215261979537,57.60384074124423,29953272.727272727,57.3976053758101,0.0,0.0,0.06563021411825476,0.07312846804057153
2019-08-31,59.06509069962935,59.61622064763849,58.53916358947754,59.03434111855247,26256727.272727273,58.82298469543457,0.0,0.0,0.024833428333670193,0.06437154296689918
